wmo	CALVALUS_ID	date_Argo	hour_Argo	date_s3	hour_s3	n_cycle	doy	lon	lat	pixel_lat	pixel_lon	latitude	longitude	sla	PAR	MLD	GlbClr_412	GlbClr_443	GlbClr_490	GlbClr_555	GlbClr_670	iop_apig	iop_adet	iop_agelb	iop_bpart	iop_bwit	iop_adg	iop_atot	iop_btot	kd489	kdmin	kd_z90max	conc_tsm	conc_chl	unc_apig	unc_adet	unc_agelb	unc_bpart	unc_bwit	unc_adg	unc_atot	unc_btot	unc_tsm	unc_chl	unc_kd489	unc_kdmin	unc_kd_z90max	OAA	OZA	SAA	SZA	horizontal_wind_vector_1	horizontal_wind_vector_2	sea_level_pressure	total_ozone	humidity	total_columnar_water_vapour	S3b1_400	S3b2_412.5	S3b3_442.5	S3b4_490	S3b5_510	S3b6_560	S3b7_620	S3b8_665	S3b9_673.75	S3b10_681.25	S3b11_708.75	S3b12_753.75	Dens_pc1	Dens_pc2	Dens_pc3	Dens_pc4	Dens_pc5	Temp_pc1	Temp_pc2	Temp_pc3	Temp_pc4	Temp_pc5	Sal_pc1	Sal_pc2	Sal_pc3	Sal_pc4	Sal_pc5	Spy_pc1	Spy_pc2	Spy_pc3	Spy_pc4	Spy_pc5	X1	X3	X5	X7	X9	X11	X13	X15	X17	X19	X21	X23	X25	X27	X29	X31	X33	X35	X37	X39	X41	X43	X45	X47	X49	X51
6902549	000005_S3A_OL_1_EFR____20160425T114036_20160425T114236_20170928T175225_0119_003_237______MR1_R_NT_002.SEN3	25/4/16	23:19	25/4/16	11:41	109	117	0.874	64.923999	64.92787	0.867599	64.92787	0.867599	-6.6613	39.258	149	0.0114	0.0114	0.0104	0.0042	0.0005	0.003818707	0.019627724	0.001484984	0.002736013	0.005383772	0.021112708	0.024931416	0.008119786	0.03980589	0.035693236	28.016514	0.021395637	0.06418186	0.000674921	0.002114804	0.000314872	0.001229913	0.002032738	0.002666963	0.002160715	0.001958925	0.00336935	0.010583811	0.000927469	0.000831645	0.66835034	51.55448	176.06635	24.472618	-60.988003	-5.246443	-9.401891	1013.2374	0.00940688	82.16966	6.4842377	0.015149525	0.015329249	0.011762005	0.006616522	0.003656868	0.001609448	0.000320253	0.000171159	0.000172834	0.000168257	6.74E-05	1.70E-05	6.203883385	0.412391354	0.034253225	-0.100159733	-0.044158951	3.970196013	1.81176573	-0.725339363	-0.153769466	-0.078392813	6.099175098	-0.146313698	-0.046322773	0.003138138	0.001957602	5.660141862	-0.055162497	0.081150113	-0.049516332	0.026046727	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.000807583	0.000802844	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008
6902550	000007_S3A_OL_1_EFR____20160425T113836_20160425T114036_20170928T175217_0119_003_237______MR1_R_NT_002.SEN3	26/4/16	21:26	25/4/16	11:39	109	117	4.447999	72.128999	72.13242	4.444835	72.13242	4.444835	-1.3826	36.069	93	0.0167	0.0153	0.0128	0.0045	0.0007	0.002963442	0.021919578	0.004265312	0.11149369	0.002930733	0.02618489	0.029148333	0.11442442	0.053831805	0.05615362	17.80829	0.20085442	0.049304623	0.000731043	0.002815803	0.000634247	0.022974519	0.001644308	0.00256012	0.003275565	0.012399487	0.021327117	0.011500582	0.001260098	0.001314447	0.42684895	58.714638	179.93051	3.5968823	-58.239063	-2.5974283	0.93259305	1018.6959	0.009885529	64.15087	4.4325776	0.015432349	0.015812945	0.014021199	0.01081412	0.006730226	0.003285924	0.000665673	0.000374338	0.000370652	0.000364043	0.000168331	4.50E-05	7.887553663	-0.094909264	0.23764884	-0.033443329	-0.000955944	-0.510226183	2.39244054	-0.531720399	-0.445669804	-0.031313444	5.743798994	-0.229055585	-0.002428227	0.014851066	-0.011039777	4.133955328	-0.321540442	-0.049098527	0.005357968	0.009177585	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.000795963	0.000784748	0.000773533	0.000756802	0.000737534	0.000718896	0.000706626	0.000694356	0.00069	0.00069	0.00068887	0.000684606	0.000680341	0.00068	0.00068	0.00068	0.00068	0.00068
6902548	000010_S3A_OL_1_EFR____20160426T111439_20160426T111639_20170928T201135_0119_003_251______MR1_R_NT_002.SEN3	27/4/16	23:11	26/4/16	11:15	110	119	1.509	68.151	68.15404	1.50891	68.15404	1.50891	-4.0531	36.7685	252	0.0174	0.0153	0.0132	0.0051	0.0007	0.004418239	0.026288709	0.006699787	0.11361057	0.00808463	0.032988496	0.037406735	0.121695206	0.058082398	0.06147679	16.266302	0.22047254	0.074692756	0.001180877	0.002869963	0.000865408	0.016327132	0.004227076	0.002846612	0.003001784	0.013039231	0.022427477	0.01893704	0.001366703	0.001446575	0.39197588	54.74231	169.08641	5.46675	113.27221	1.2737659	-3.8715417	1017.71405	0.009560494	78.68336	5.592622	0.013768744	0.01435311	0.013725576	0.011073178	0.006993309	0.003666494	0.000801741	0.000465354	0.000462655	0.000447726	0.0002115	5.89E-05	6.169132923	0.417315071	0.033471634	-0.100786724	-0.045404	4.197448653	1.761166323	-0.727405454	-0.138796582	-0.080202052	6.17083394	-0.12990996	-0.055093689	0.000696303	0.004487834	5.789597305	-0.035549425	0.090319872	-0.053797484	0.027569108	0.00065	0.00065	0.00065	0.00065	0.00065	0.00065	0.00065	0.00065	0.000651495	0.000655705	0.000659916	0.00066	0.00066	0.000668381	0.000683619	0.000698857	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.000702	0.000711302	0.000720246
6902548	000010_S3A_OL_1_EFR____20160427T104840_20160427T105040_20170928T212415_0119_003_265______MR1_R_NT_002.SEN3	27/4/16	23:11	27/4/16	10:49	110	119	1.509	68.151	68.15447	1.509927	68.15447	1.509927	-4.0531	36.7685	252	0.0174	0.0153	0.0132	0.0051	0.0007	0.002762241	0.01636075	0.003838398	0.13664307	0.004678927	0.020199148	0.02296139	0.14132199	0.045480922	0.04634908	21.575401	0.24953075	0.045828044	0.000740809	0.001952375	0.000539546	0.022209601	0.002533111	0.001796714	0.001989253	0.013512013	0.023240661	0.011660415	0.001070806	0.001091245	0.52022135	55.046097	161.43616	24.402576	107.38608	-0.7550571	-7.0100703	1015.42847	0.009275452	83.12422	6.2587986	0.019913491	0.021090271	0.018802434	0.013774545	0.007948192	0.003865654	0.0007714	0.000439343	0.0004354	0.000419129	0.000198537	5.50E-05	6.169132923	0.417315071	0.033471634	-0.100786724	-0.045404	4.197078805	1.756880086	-0.72032951	-0.1372876	-0.080590131	6.17083394	-0.12990996	-0.055093689	0.000696303	0.004487834	5.789597305	-0.035549425	0.090319872	-0.053797484	0.027569108	0.00065	0.00065	0.00065	0.00065	0.00065	0.00065	0.00065	0.00065	0.000651495	0.000655705	0.000659916	0.00066	0.00066	0.000668381	0.000683619	0.000698857	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.0007	0.000702	0.000711302	0.000720246
5903887	000013_S3A_OL_1_EFR____20160430T110857_20160430T111057_20170929T005921_0119_003_308______MR1_R_NT_002.SEN3	30/4/16	12:39	30/4/16	11:10	261	121	-6.12	70.898	70.900955	-6.122025	70.900955	-6.122025	1.2689	39.5617	105	0.0068	0.0078	0.0079	0.0031	0.0004	0.014510537	0.01782115	0.009445488	0.037896708	0.029432824	0.027266636	0.041777175	0.06732953	0.057318494	0.060432006	16.547523	0.15642409	0.2572587	0.00196114	0.002761707	0.000749519	0.006777552	0.007919898	0.003365725	0.001840745	0.00823596	0.014165851	0.032094322	0.001527478	0.00161045	0.45304695	56.950207	159.49887	34.575397	105.057884	-9.961654	2.7202	1017.5245	0.008695984	42.529568	7.5058556	0.010840525	0.011110659	0.010400888	0.008029123	0.00515799	0.002724857	0.000581089	0.000333976	0.000343399	0.000335231	0.000146447	3.96E-05	8.040869499	-0.104352596	0.238446736	-0.02880645	0.006392254	-1.535793135	2.698992024	-0.363682512	-0.471543713	-0.034430405	5.587811305	-0.246638702	0.002971139	0.016478078	-0.013843285	3.801734338	-0.328007838	-0.045139725	0.010002396	0.002990374	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00092754	0.00092354	0.00092	0.00092	0.00092
6901647	000014_S3A_OL_1_EFR____20160501T122702_20160501T122902_20170924T041737_0119_003_323______MR1_R_NT_002.SEN3	30/4/16	13:43	1/5/16	12:27	257	121	-14.556255	61.799848	61.802658	-14.561229	61.802654	-14.561229	-12.0657	39.4043	181	0.0248	0.0209	0.017	0.0066	0.0009	0.0073935	0.012750001	0.003537731	0.010668993	0.009832754	0.016287733	0.023681233	0.020501748	0.040205482	0.03943885	25.35571	0.048832204	0.12759198	0.001006193	0.00153636	0.000373317	0.004230874	0.004155587	0.001845699	0.001134159	0.004376742	0.007527996	0.016032737	0.00085023	0.000834018	0.5477832	46.76408	170.84431	22.593082	-64.470146	11.69216	7.801592	998.60266	0.009037535	57.863396	6.6893926	0.01437527	0.014636337	0.012206155	0.007472099	0.00433566	0.001970638	0.000385904	0.000209877	0.000213421	0.000208269	8.62E-05	2.22E-05	4.738898668	0.804611757	-0.11020855	-0.145814771	-0.079191501	5.724408789	1.436236119	-0.827901227	-0.0729704	-0.068774304	5.744726964	-0.228297576	0.001074332	0.019281106	-0.016385979	5.996679607	-0.034309238	0.074648425	-0.039656827	0.020840819	0.001275	0.0013	0.00126	0.0013	0.00124	0.00128	0.00128	0.001264	0.00129	0.00129	0.00127	0.00127	0.00125	0.00125	0.00125	0.00116	0.00115	0.00115	0.001121111	0.00105	0.00106	0.00106	0.001042	0.00103	0.00103	0.00101
6901480	000016_S3A_OL_1_EFR____20160430T143448_20160430T143648_20170929T011222_0119_003_310______MR1_R_NT_002.SEN3	30/4/16	14:36	30/4/16	14:35	298	121	-49.339303	58.67487	58.67859	-49.34079	58.67859	-49.340794	-4.0323	48.1417	47	0.0074	0.007	0.0063	0.0039	0.0004	0.032899663	0.10368444	0.02865272	0.022461474	0.047478907	0.13233715	0.16523683	0.06994038	0.16160764	0.15895219	6.2911997	0.18581834	0.6026961	0.004430305	0.011797345	0.002686027	0.006466621	0.009923648	0.010514697	0.008254983	0.00820176	0.014107028	0.07490491	0.004945686	0.004864421	0.19860803	44.243595	166.54474	22.118975	-66.79941	-1.3575109	-2.144818	1007.1883	0.00880623	112.59771	6.779623	0.002794391	0.002789659	0.002672184	0.002460353	0.002066003	0.001473676	0.000444772	0.000267115	0.00027196	0.000271334	0.000124666	3.39E-05	6.256096069	0.343974627	0.07909203	-0.056730755	-0.018282641	-0.085145735	2.572780485	-0.377462024	-0.339574199	-0.096719609	4.636384673	-0.373157428	0.037751979	0.008547284	-0.001765207	3.398764148	-0.311343628	-0.000590083	-0.033064335	0.03113228	0.00086	0.00094	0.00083	0.00099	0.00094	0.00073	0.00075	0.000849091	0.00098	0.00098	0.00098	0.000753333	0.00076	0.00076	0.00076	0.000756364	0.00074	0.00074	0.00074	0.00074	0.00068	0.00073	0.00073	0.00073	0.000685	0.00054
6901181	000018_S3A_OL_1_EFR____20160430T125655_20160430T125855_20170929T010728_0119_003_309______MR1_R_NT_002.SEN3	1/5/16	13:41	30/4/16	12:57	241	122	-35.906225	50.792812	50.79727	-35.910355	50.79727	-35.91035	-16.9001	45.4467	56	0.0223	0.0176	0.0132	0.0095	0.0014	0.07291505	0.06933057	0.05506532	0.4376248	0.58662546	0.12439589	0.19731094	1.0242503	0.17862318	0.16424376	6.0885115	2.5712535	1.378952	0.008984636	0.009244602	0.006238995	0.074757196	0.118748754	0.013911199	0.011758973	0.087766744	0.1509588	0.1562643	0.007041261	0.006474429	0.24985611	39.53521	147.34062	11.7523575	104.403114	5.750921	4.3775125	1014.9962	0.008198895	99.58042	7.734176	0.008682616	0.009342435	0.010599204	0.012524414	0.011533863	0.009582724	0.003069445	0.001846144	0.001754789	0.001714946	0.000993095	0.000291496	4.114983922	0.979330339	-0.181551034	-0.168980886	-0.094332312	4.639533625	1.651776942	-0.726777792	-0.108581034	-0.079304673	4.755666131	-0.408630342	0.081191606	0.036609119	-0.037435877	4.8603998	-0.173981505	0.026540278	-0.022900019	0.015543926	0.00361	0.0034975	0.00357	0.0035975	0.00336	0.00349	0.003528	0.00387	0.00402	0.00402	0.00381	0.00378	0.00378	0.003714545	0.003778	0.003818	0.003988	0.00406	0.00406	0.00406	0.004195714	0.00423	0.00423	0.003966363	0.00361	0.00361
6901516	000019_S3A_OL_1_EFR____20160430T125455_20160430T125655_20170929T010656_0119_003_309______MR1_R_NT_002.SEN3	1/5/16	13:42	30/4/16	12:56	364	122	-33.889061	54.13633	54.139557	-33.893307	54.13956	-33.893307	-6.9167	45.17	30	0.0138	0.0123	0.0119	0.0086	0.0012	0.06910527	0.05331706	0.064212255	0.65667486	0.56142855	0.11752932	0.18663459	1.2181034	0.17414631	0.15980175	6.257754	2.8699093	1.3041	0.008617494	0.00742518	0.007114039	0.09932361	0.13754192	0.013689448	0.012131586	0.10011777	0.17220257	0.14962892	0.006296983	0.005778296	0.23476379	41.8721	151.79576	8.969447	105.596985	3.329218	3.7359767	1012.6727	0.008498605	72.142715	7.5998697	0.009998179	0.010786211	0.012651528	0.016162491	0.015031183	0.012620408	0.003754128	0.00224835	0.002124449	0.002074322	0.001210808	0.000357774	5.187275552	0.437923177	0.184093775	0.068559211	0.052773705	2.825117005	1.641738174	-0.747765856	-0.382280711	0.085498036	4.762944201	-0.337963343	0.002197845	-0.003305728	0.006395875	4.250671386	-0.282355113	-0.044460368	0.020654365	-0.004371654	0.003424	0.003335	0.0034	0.00336	0.003555	0.003454545	0.003394444	0.00337	0.00339	0.00342	0.00344	0.0034725	0.00348	0.00348	0.0033475	0.002976667	0.00252	0.002055714	0.00163	0.00155	0.001337778	0.001255	0.0011875	0.001102222	0.0011	0.0011
6902550	000021_S3A_OL_1_EFR____20160430T110857_20160430T111057_20170929T005921_0119_003_308______MR1_R_NT_002.SEN3	1/5/16	23:11	30/4/16	11:10	110	123	3.804999	72.104	72.106834	3.796807	72.106834	3.796807	-0.7441	35.4697	29	0.0175	0.015	0.0118	0.0034	0.0001	0.28020304	24.161486	19.679056	0.03149728	0.006054426	43.84054	44.120747	0.03755171	2.1919968	1.0789517	0.9268255	0.072944045	5.5923076	0.20194511	7.9249187	11.041294	0.016150324	0.004911309	8.910537	12.462871	0.028562095	0.049126804	3.9779742	0.40271863	0.19822747	0.20860364	57.318985	170.89912	15.493736	114.02553	-3.2147808	4.4115033	1024.9364	0.008040261	32.388855	7.2692976	0.002291004	0.002390784	0.002586733	0.00238205	0.00198766	0.001628902	0.001029984	0.000803158	0.000727871	0.000677382	0.000541252	0.000222811	7.256866182	0.033095538	0.221032858	-0.025821743	-0.007205133	1.519559265	1.905805309	-0.648641071	-0.395626665	0.006253126	5.906480554	-0.203999282	-0.010655523	0.013856037	-0.00902713	4.758856309	-0.267813951	-0.050549697	0.012369425	0.007673492	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.00081	0.000804321	0.000777906	0.000751491	0.000718082	0.000679289	0.000641533	0.000606976	0.000572419	0.00057	0.00057	0.000567509	0.000559962	0.000552415
