wmo	CALVALUS_ID	date_Argo	hour_Argo	date_s3	hour_s3	n_cycle	doy	lon	lat	pixel_lat	pixel_lon	latitude	longitude	sla	PAR	MLD	GlbClr_412	GlbClr_443	GlbClr_490	GlbClr_555	GlbClr_670	iop_apig	iop_adet	iop_agelb	iop_bpart	iop_bwit	iop_adg	iop_atot	iop_btot	kd489	kdmin	kd_z90max	conc_tsm	conc_chl	unc_apig	unc_adet	unc_agelb	unc_bpart	unc_bwit	unc_adg	unc_atot	unc_btot	unc_tsm	unc_chl	unc_kd489	unc_kdmin	unc_kd_z90max	OAA	OZA	SAA	SZA	horizontal_wind_vector_1	horizontal_wind_vector_2	sea_level_pressure	total_ozone	humidity	total_columnar_water_vapour	S3b1_400	S3b2_412.5	S3b3_442.5	S3b4_490	S3b5_510	S3b6_560	S3b7_620	S3b8_665	S3b9_673.75	S3b10_681.25	S3b11_708.75	S3b12_753.75	Dens_pc1	Dens_pc2	Dens_pc3	Dens_pc4	Dens_pc5	Temp_pc1	Temp_pc2	Temp_pc3	Temp_pc4	Temp_pc5	Sal_pc1	Sal_pc2	Sal_pc3	Sal_pc4	Sal_pc5	Spy_pc1	Spy_pc2	Spy_pc3	Spy_pc4	Spy_pc5	wmo.1	n_cycle.1	X1	X3	X5	X7	X9	X11	X13	X15	X17	X19	X21	X23	X25	X27	X29	X31	X33	X35	X37	X39	X41	X43	X45	X47	X49	X51	X53	X55	X57	X59	X61	X63	X65	X67	X69	X71	X73	X75	X77	X79	X81	X83	X85	X87	X89	X91	X93	X95	X97	X99	X101	X103	X105	X107	X109	X111	X113	X115	X117	X119	X121	X123	X125	X127	X129	X131	X133	X135	X137	X139	X141	X143	X145	X147	X149	X151	X153	X155	X157	X159	X161	X163	X165	X167	X169	X171	X173	X175	X177	X179	X181	X183	X185	X187	X189	X191	X193	X195	X197	X199	X201	X203	X205	X207	X209	X211	X213	X215	X217	X219	X221	X223	X225	X227	X229	X231	X233	X235	X237	X239	X241	X243	X245	X247	X249	X250
5904124	000008_S3A_OL_1_EFR____20160501T192128_20160501T192328_20170924T043921_0119_003_327______MR1_R_NT_002.SEN3	1/5/16	17:41	1/5/16	19:22	215	122	-143.596	26.119	26.120468	-143.59656	26.120468	-143.59656	13.555	58.6618	42	0.0466652	0.0360529	0.0230153	0.00594862	0.000797967	0.004403715	0.004062623	0.003228159	0.1368955	0.011451369	0.007290782	0.011694497	0.14834686	0.032196872	0.030906454	32.3557	0.2709595	0.07443741	0.001039954	0.001294229	0.000395594	0.018189961	0.00575117	0.001245781	0.001043517	0.015412818	0.026510047	0.016592579	0.000689901	0.000662251	0.7084863	31.870235	103.24375	46.407837	100.07996	-3.7465556	-0.27398428	1021.8559	0.007422362	83.77045	25.020561	0.03247055	0.036317885	0.03234396	0.021243707	0.010935258	0.004934713	0.000960219	0.000545555	0.000532303	0.000502031	0.000249556	6.98E-05	17.75429533	-6.854100402	-2.472410882	0.662309169	-0.254245388	-0.002023118	-7.036623754	3.230682187	-0.414987266	-0.022735427	24.3739076	-1.668790038	-3.543188028	-1.537418249	0.899745184	14.73325159	-9.500527309	-2.760032594	2.398093029	-2.332695716	5904124	215	0.00035	0.00035	0.00035	0.00035	0.0003565	0.0003665	0.00037	0.00037	0.000370204	0.000374286	0.000378367	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.000400541	0.00042	0.00042	0.00042	0.000423673	0.000427755	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.000424324	0.000416216	0.000408108	0.0004	0.000398148	0.000396296	0.000394444	0.000392593	0.000390741	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.00039	0.000388729	0.000387034	0.000385339	0.000383644	0.000381949	0.000380254	0.00038	0.00038	0.00038	0.00038	0.00038	0.000378416	0.000376436	0.000374455	0.000372475	0.000370495	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.000368367	0.000366327	0.000364286	0.000362245	0.000360204	0.000358252	0.000356311	0.000354369	0.000352427	0.000350485	0.000339535	0.000325581	0.000311628	0.000297674	0.000289211	0.000287456	0.000285702	0.000283947	0.000282193	0.000280439	0.000275631	0.000269806	0.000263981	0.000258155	0.00025233	0.000248812	0.000246832	0.000244851	0.000242871	0.000241881
6901472	000009_S3A_OL_1_EFR____20160501T123902_20160501T124102_20170924T041946_0119_003_323______MR1_R_NT_002.SEN3	2/5/16	15:01	1/5/16	12:39	134	123	-41.636134	20.943521	20.94514	-41.63561	20.94514	-41.63561	-0.5585	58.989	10	0.0493542	0.03835	0.0235268	0.00461683	0.000488259	0.003565643	0.000870016	0.003465928	0.039036587	0.002894554	0.004335944	0.007901587	0.04193114	0.026405592	0.02381674	41.987274	0.07611605	0.059764415	0.000297372	8.88E-05	0.000265838	0.006463549	0.001343244	0.000288126	0.000440014	0.010868856	0.018694432	0.004512849	0.000433292	0.000390812	0.700468	29.859125	95.6946	36.11752	101.19581	-2.762456	-1.504908	1017.5582	0.006370375	74.45666	33.412228	0.034828424	0.039507918	0.034121164	0.020545627	0.009661599	0.004093774	0.000723485	0.000395535	0.000387424	0.000368554	0.000176776	4.67E-05	-11.57885078	0.60292141	0.364905001	-1.773821572	0.659581505	-2.628489906	-3.042066633	0.849402562	0.386717754	3.342668181	-19.52873877	5.429507098	1.08439471	2.617552798	-0.768602391	-12.35143717	-2.598757451	-0.338672745	-0.631603046	3.366352618	6901472	134	0.00053	0.00102	0.00058	0.0005	0.00054	0.00055	0.00055	0.00055	0.00052	0.00055	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00057	0.00058	0.00059	0.00061	0.00061	0.00061	0.00061	0.00062	0.00062	0.00062	0.000589	0.00057	0.00057	0.00058	0.00058	0.000568	0.000534545	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.00052	0.000513333	0.0005	0.0005	0.0005	0.0005	0.0005075	0.00051	0.00051	0.00051	0.0005	0.0005	0.0005	0.00051	0.00051	0.00051	0.00051	0.00051	0.00051	0.0005	0.0005	0.00051	0.00051	0.000508	0.000496	0.000484444	0.0005	0.0005	0.00048	0.00047	0.000465556	0.00047	0.00047	0.00047	0.00048	0.00048	0.000472	0.000468	0.0005	0.0005	0.00048	0.00048	0.00043	0.000424444	0.00044	0.00044	0.00044	0.00047	0.00047	0.000462222	0.000424	0.00042	0.00042	0.00037	0.00037	0.00037	0.00037	0.00036	0.000339091	0.000292727	0.00032	0.00032	0.00032	0.00029	0.00029	0.000286667	0.00028	0.000266667	0.000256667	0.00025	0.00025	0.00025	0.00025	0.00025	0.000239091	0.000222727	0.00025	0.00025	0.00025	0.000241818	0.00025	0.000258182	0.00026	0.00026	0.00026
5904923	000011_S3A_OL_1_EFR____20160504T044743_20160504T044943_20170924T072613_0119_003_361______MR1_R_NT_002.SEN3	3/5/16	21:57	4/5/16	04:49	228	124	73.844799	-21.8124	-21.809029	73.84402	-21.809029	73.84402	-1.271999	36.2166	54	0.0566366	0.0407276	0.0238321	0.00425428	0.000867082	0.001298583	0.000819218	0.002987718	0.008174099	0.001152807	0.003806937	0.00510552	0.009326906	0.024683226	0.020866992	47.922577	0.017633151	0.020903923	9.07E-05	5.13E-05	0.000153946	0.00200355	0.000379557	0.000158813	0.000208044	0.001793426	0.003084692	0.001312061	0.000406535	0.000343681	0.80250466	49.836067	43.25234	2.6993697	102.79534	-9.735283	-0.36693737	1014.20984	0.005738562	80.10202	44.516506	0.039121913	0.045027221	0.035605383	0.01734608	0.007212637	0.002770803	0.000447455	0.000231568	0.000229092	0.000220611	9.66E-05	2.39E-05	8.49757021	6.013797214	4.058854614	-0.03624267	-1.150364724	-0.003264351	3.418588776	-0.662468893	1.554077949	-0.680762023	13.80356572	7.618564189	0.484452926	-0.939229425	-0.42540766	8.340829331	-3.763980328	1.968775112	-1.162840791	-1.975919082	5904923	228	0.000395	0.000395	0.000395	0.000395	0.00039195	0.00039	0.00039	0.0003961	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.00039419	0.0003956	0.0004	0.0004	0.0004	0.000406286	0.00041	0.00041	0.0004161	0.00042	0.0004261	0.00043581	0.00044	0.0004522	0.000479263	0.000527714	0.00055	0.0005622	0.0005761	0.0005922	0.0006244	0.00064	0.00064	0.00064	0.00064	0.00064	0.00064	0.00064	0.0006583	0.00067	0.00067	0.00067	0.00067	0.00067	0.0006639	0.0006539	0.0006439	0.0006278	0.0005895	0.00057	0.0005578	0.0005439	0.00054	0.0005034	0.00048	0.00048	0.0004983	0.00051	0.00051	0.00051	0.00051	0.00051	0.00051	0.0004978	0.0004839	0.0004739	0.00047	0.00047	0.00047	0.0004578	0.00045	0.0004256	0.0003917	0.0003617	0.0003439	0.0003339	0.0003239	0.0003139	0.00031	0.0003161	0.00032	0.00032	0.00032	0.00032	0.0003078	0.0003	0.0002939	0.00029	0.0002778	0.00027	0.0002639	0.00026	0.0002539	0.00025	0.00025	0.00025	0.00025	0.00025	0.0002439	0.0002339	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.0002239	0.00022	0.0002261	0.00023	0.00023	0.00023	0.00023	0.00023
6901658	000012_S3A_OL_1_EFR____20160505T211023_20160505T211223_20170929T024411_0119_003_385______MR1_R_NT_002.SEN3	4/5/16	11:35	5/5/16	21:11	99	125	-173.69645	-17.562901	-17.560797	-173.69786	-17.560797	-173.69788	-1.149	43.2244	10	0.0624851	0.0430642	0.0245142	0.00433869	0.000305571	0.005389131	0.001099176	0.00307229	0.09071717	0.009800902	0.004171467	0.009560597	0.10051807	0.031866558	0.029432029	33.976593	0.18641633	0.091833	0.00056972	0.000244426	0.000316854	0.01369381	0.004868961	0.000486769	0.000646668	0.018730858	0.032217078	0.008873748	0.000600834	0.000554932	0.65292704	48.41247	47.105347	23.398462	103.683426	-3.018939	2.0800354	1012.52014	0.005479772	37.01625	40.52989	0.039736135	0.045222277	0.039238042	0.022992856	0.010528034	0.004601425	0.000809759	0.000446674	0.000432077	0.000411706	0.000200657	5.35E-05	19.22158012	-0.300673928	1.546627021	0.085415278	-0.049693118	-13.8607557	0.376535169	0.712189035	1.314947813	0.626123671	9.172842446	5.523835235	0.275771114	-0.964992131	0.020886682	-4.729131518	-4.128198612	1.884547762	-1.057799617	-0.719666997	6901658	99	0.000335	0.00036	0.000345	0.00036	0.00037	0.00037	0.00036	0.000364545	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.000361667	0.00036	0.00036	0.00034	0.00033	0.000355385	0.00037	0.00037	0.00037	0.00037	0.00037	0.0003675	0.00036	0.00037	0.00037	0.00037	0.00037	0.000388571	0.000402857	0.000412222	0.000456667	0.00048	0.00048	0.00048	0.00048	0.000493333	0.00051	0.00051	0.00051	0.0005	0.0005	0.00048	0.00048	0.00048	0.0004775	0.00047	0.00047	0.00047	0.00047	0.00047	0.00046	0.00047	0.00047	0.00047	0.00046	0.000466667	0.00047	0.00048	0.00051	0.00051	0.00051	0.00051	0.00048	0.00048	0.00048	0.00048	0.000470909	0.00044	0.00043	0.000421818	0.0003975	0.00037	0.00037	0.00037	0.00037	0.00037	0.000369	0.00036	0.00036	0.000332	0.00031	0.000318	0.00032	0.000339091	0.00035	0.00035	0.00035	0.00035	0.00032	0.00032	0.00032	0.0003	0.00032	0.00032	0.00027	0.00026	0.00026	0.00026	0.000248	0.000212727	0.00022	0.00022	0.000233636	0.00025	0.00025	0.000248	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00021	0.00021	0.00021	0.00022	0.00022	0.000227778	0.00023	0.00023	0.00022	0.00022
1901348	000017_S3A_OL_1_EFR____20160508T044356_20160508T044556_20170929T052946_0119_004_033______MR1_R_NT_002.SEN3	9/5/16	07:15	8/5/16	04:44	220	130	76.2295	-18.488699	-18.485441	76.23013	-18.48544	76.23013	-2.9648	42.2949	50	0.0507779	0.0367234	0.0232298	0.00483679	0.000629313	0.001544786	0.000821501	0.00279188	0.010555871	0.001398985	0.003613381	0.005158167	0.011954856	0.024166865	0.019981025	50.04748	0.022492953	0.02504046	0.000112756	5.39E-05	0.00015016	0.00248192	0.000511965	0.000148445	0.0002056	0.002465384	0.004240461	0.001646056	0.00034597	0.000286046	0.72688204	47.416218	43.051445	2.5143924	-77.230736	-10.694733	-0.8344993	1014.7445	0.005611922	52.443275	26.371561	0.035431266	0.04035987	0.031171702	0.015652033	0.006843084	0.002637042	0.000426247	0.000220561	0.000216685	0.000208851	9.06E-05	2.26E-05	15.49632047	8.424053378	2.743468249	-1.696386349	-1.816470175	-3.071704349	5.716636473	-0.630913519	0.232192188	1.354415898	20.11845323	9.115805584	-1.024550082	1.31996079	-0.752039335	9.549507824	-3.984747621	1.717416861	-0.746815357	0.124536782	1901348	220	0.00033	0.00033	0.00033	0.00033	0.000335095	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00033515	0.00033485	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034485	0.00035	0.000368476	0.000394833	0.000409727	0.000478	0.000544864	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00051605	0.00047515	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.0004603	0.00045	0.00043545	0.0004006	0.0003606	0.00033515	0.00033	0.0003203	0.000304895	0.000294905	0.00029	0.00029	0.00029	0.00029	0.00029485	0.0003	0.0003	0.00030485	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00029545	0.00028	0.00028	0.00028	0.00028	0.00028	0.00027515	0.00026515	0.0002503	0.00024	0.00023515	0.00023	0.0002203	0.00020515	0.0002	0.0002	0.0002	0.00020485	0.00021	0.00021	0.00021	0.00021	0.00020515	0.0002	0.00019515	0.00018515	0.00018	0.00018485	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00018515	0.00017515	0.00017	0.00016515	0.00016	0.00016	0.00016	0.00016	0.00016	0.0001503	0.00014	0.00014	0.00014	0.00014
1901348	000017_S3A_OL_1_EFR____20160509T041722_20160509T041922_20170929T064007_0119_004_047______MR1_R_NT_002.SEN3	9/5/16	07:15	9/5/16	04:18	220	130	76.2295	-18.488699	-18.485487	76.23153	-18.485489	76.23153	-2.9648	42.2949	50	0.0507779	0.0367234	0.0232298	0.00483679	0.000629313	0.001881044	0.000823264	0.003070163	0.017518977	0.001356784	0.003893427	0.005774471	0.018875761	0.028077764	0.025099551	39.84135	0.034338668	0.030732246	0.000147255	5.76E-05	0.00017503	0.003322463	0.000510444	0.000173117	0.000254478	0.00415714	0.00715028	0.002172761	0.000422858	0.000378005	0.60919356	51.97199	48.45957	42.908	104.812485	-7.830761	-2.0584993	1013.2457	0.005552241	70.85072	27.63663	0.039459459	0.045151744	0.038127735	0.021378146	0.009625593	0.003899124	0.000655443	0.000349592	0.000341052	0.000323559	0.000151247	3.92E-05	15.49632047	8.424053378	2.743468249	-1.696386349	-1.816470175	-3.071757742	5.716277868	-0.631694563	0.232054583	1.349710128	20.11845323	9.115805584	-1.024550082	1.31996079	-0.752039335	9.549507824	-3.984747621	1.717416861	-0.746815357	0.124536782	1901348	220	0.00033	0.00033	0.00033	0.00033	0.000335095	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00033515	0.00033485	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034485	0.00035	0.000368476	0.000394833	0.000409727	0.000478	0.000544864	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00051605	0.00047515	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.00047	0.0004603	0.00045	0.00043545	0.0004006	0.0003606	0.00033515	0.00033	0.0003203	0.000304895	0.000294905	0.00029	0.00029	0.00029	0.00029	0.00029485	0.0003	0.0003	0.00030485	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00031	0.00029545	0.00028	0.00028	0.00028	0.00028	0.00028	0.00027515	0.00026515	0.0002503	0.00024	0.00023515	0.00023	0.0002203	0.00020515	0.0002	0.0002	0.0002	0.00020485	0.00021	0.00021	0.00021	0.00021	0.00020515	0.0002	0.00019515	0.00018515	0.00018	0.00018485	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00019	0.00018515	0.00017515	0.00017	0.00016515	0.00016	0.00016	0.00016	0.00016	0.00016	0.0001503	0.00014	0.00014	0.00014	0.00014
5904923	000022_S3A_OL_1_EFR____20160512T044009_20160512T044209_20170929T101513_0119_004_090______MR1_R_NT_002.SEN3	12/5/16	22:30	12/5/16	04:41	231	133	73.1648	-21.6073	-21.602785	73.16272	-21.602783	73.16272	-4.1824	39.7401	61	0.050147	0.0374018	0.0225166	0.00452177	0.000497056	0.004089213	0.000962508	0.002917331	0.061069075	0.003510464	0.00387984	0.007969053	0.06457954	0.03097583	0.028261842	35.383396	0.11592125	0.06891672	0.000395146	0.000141842	0.00026809	0.010069905	0.001753945	0.000324889	0.000538616	0.016142497	0.027765095	0.006065229	0.000565918	0.000516335	0.6584745	52.832615	43.7236	22.549072	103.971146	-8.157985	7.6346254	1017.38794	0.00546124	79.41847	32.16925	0.039518981	0.044941159	0.03846979	0.023119288	0.01108167	0.004800201	0.000889449	0.000496354	0.000478664	0.000454693	0.000224969	6.11E-05	8.677976076	6.338398496	2.708757748	0.631285668	-1.248008988	-0.003515342	3.662788797	0.647797699	1.803350954	-0.848227583	13.96912757	8.281845591	0.172423318	-0.20678578	-0.237277845	8.509203512	-4.680553956	2.579926858	-1.370108234	-1.744553162	5904923	231	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.0004352	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.00043	0.0004348	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.000444571	0.000459053	0.0004988	0.0005396	0.000574	0.0006048	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061	0.00061	0.0006148	0.00062	0.00062	0.00062	0.00062	0.0006152	0.00061	0.00061	0.0006052	0.0006	0.0006	0.0006	0.0006	0.000589895	0.000574952	0.0005652	0.0005408	0.00052	0.0005152	0.0005052	0.0005	0.0005	0.0005	0.0005	0.0004952	0.00049	0.0004852	0.00048	0.00048	0.00048	0.00048	0.00048	0.0004752	0.0004652	0.0004456	0.00043	0.0004156	0.0003952	0.00039	0.0003756	0.00036	0.0003504	0.0003304	0.00032	0.0003104	0.0003	0.0003	0.0003	0.0002904	0.0002752	0.00027	0.00027	0.0002604	0.00025	0.00025	0.00025	0.00025	0.00025	0.00025	0.0002452	0.00024	0.00024	0.00024	0.00024	0.0002448	0.00025	0.000255048	0.00026	0.00026	0.00026	0.00026	0.0002552	0.00025	0.00025	0.00025	0.00025	0.00025	0.0002452	0.00024	0.00024	0.00024	0.00024	0.00024
3901496	000023_S3A_OL_1_EFR____20160512T112550_20160512T112750_20170929T103532_0119_004_094______MR1_R_NT_002.SEN3	13/5/16	13:41	12/5/16	11:26	139	134	-26.173685	-24.118323	-24.116232	-26.17677	-24.116232	-26.176767	4.8233	36.5091	57	0.0539818	0.0392702	0.024477	0.00523287	0.000691588	0.004315676	0.000975582	0.003049728	0.048802007	0.003126704	0.00402531	0.008340986	0.05192871	0.029980857	0.027077872	36.930523	0.093632236	0.07289035	0.000394039	0.000144934	0.000270971	0.008083378	0.001510086	0.000325174	0.000513127	0.012416314	0.021356061	0.006047553	0.000514536	0.000464715	0.64487547	53.636642	40.793053	5.2251816	103.22461	2.4572666	-7.5357323	1017.7965	0.005378561	72.087135	35.856407	0.034290288	0.03860269	0.031714867	0.019372642	0.009361874	0.004036407	0.000724183	0.000399114	0.00038735	0.000371622	0.000178998	4.72E-05	-5.712880252	2.387052564	-0.529190488	0.932915247	-0.225616283	3.497515791	3.765656363	-0.151012765	0.39459301	0.242368083	-2.972603333	-1.752606335	1.16452768	0.507977871	-0.046186242	0.635271577	4.129526468	1.477694791	-1.05488802	0.070888255	3901496	139	0.000426	0.00046	0.00046	0.00044	0.00044	0.00046	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.0004375	0.00041	0.00041	0.00044	0.00044	0.00044	0.000468	0.00048	0.00048	0.000495	0.00052	0.00052	0.000516364	0.0005	0.0005	0.000471667	0.00046	0.00046	0.00046	0.00046	0.00046	0.00046	0.00046	0.00046	0.000419	0.00044	0.00044	0.00041	0.00041	0.00046	0.00046	0.00046	0.00044	0.00044	0.000416667	0.00041	0.0004025	0.00039	0.00039	0.00039	0.00039	0.000387778	0.00037	0.0003875	0.00039	0.00039	0.000354444	0.000372222	0.00039	0.00039	0.00039	0.00039	0.00039	0.00037	0.00037	0.000312222	0.00033	0.00033	0.00033	0.00033	0.00031	0.000295455	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.000264545	0.00025	0.00025	0.00025	0.00023	0.00023	0.00023	0.000240909	0.00025	0.00025	0.00027	0.00027	0.00027	0.000256667	0.000258333	0.00027	0.00027	0.000237273	0.00021	0.00021	0.00021	0.000222727	0.00023	0.00023	0.00023	0.00023	0.00023	0.000220909	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00021	0.00021	0.00021
6901658	000024_S3A_OL_1_EFR____20160512T212823_20160512T213023_20170929T110507_0119_004_100______MR1_R_NT_002.SEN3	14/5/16	11:37	12/5/16	21:30	101	135	-174.346393	-17.079207	-17.077185	-174.3478	-17.077185	-174.3478	-5.9295	41.8155	65	0.0548348	0.0386396	0.022658	0.00409502	0.000410633	0.001468498	0.000820271	0.002822991	0.008749043	0.001329367	0.003643262	0.00511176	0.01007841	0.023933332	0.019775221	50.568336	0.019169392	0.023755684	0.000103689	5.22E-05	0.00014824	0.002184296	0.000469269	0.000150869	0.000202269	0.002013895	0.003463899	0.001508626	0.000351596	0.000290511	0.75395536	46.7025	41.9711	7.6711726	-77.46882	-8.803745	4.141435	1013.4201	0.005412221	78.16016	41.555145	0.036712088	0.04189128	0.033257393	0.017215041	0.007620637	0.003021992	0.000490266	0.000256016	0.000249935	0.000241434	0.000108247	2.69E-05	22.07488057	-2.84333204	1.04494706	0.702204793	-0.421711591	-16.15844325	-1.493461798	1.693311232	1.66472543	0.254167066	9.491286853	5.655736086	1.095903524	-0.483662513	-0.442322897	-6.199760767	-5.873924125	2.218224867	-1.280765655	-0.607462131	6901658	101	0.00038	0.0004	0.0004	0.000353333	0.00037	0.000368182	0.00036	0.000368182	0.00037	0.00038	0.0004	0.0004	0.0004	0.00038	0.00038	0.00038	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037	0.00037875	0.0004	0.0004	0.00036	0.00038	0.00038	0.00038	0.00038	0.00038	0.00038	0.00042	0.00043	0.00043	0.000423333	0.00042	0.00042	0.00043	0.00046	0.00046	0.00046625	0.00047	0.00048	0.00048	0.000472	0.00047	0.00047	0.00048	0.00048	0.000474286	0.00047	0.00048	0.00048	0.00046	0.000468889	0.00047	0.00047	0.00046	0.000467778	0.00047	0.00047	0.000466	0.00046	0.00046	0.00046	0.00047	0.00047	0.000463333	0.00047	0.000497273	0.0005	0.000495556	0.00047	0.00046	0.00046	0.000452	0.000436	0.00043	0.00043	0.00042	0.00041	0.000405833	0.00038	0.000371818	0.00037	0.00037	0.00037	0.000368462	0.00036	0.00036	0.00036	0.000356923	0.000329375	0.00032	0.00032	0.00033	0.00033	0.00033	0.00033	0.00033	0.00033	0.000312857	0.000307143	0.0003	0.00027	0.00027	0.00027	0.000258571	0.00023	0.000226429	0.000228462	0.00023	0.00023	0.00023	0.000211539	0.00021	0.00021	0.00021	0.00021	0.00021	0.000201667	0.00021	0.00021	0.00021	0.00021
3901496	000030_S3A_OL_1_EFR____20160517T105607_20160517T105807_20170929T163123_0119_004_165______MR1_R_NT_002.SEN3	18/5/16	13:39	17/5/16	10:57	140	139	-26.022223	-24.068538	-24.065058	-26.02023	-24.065056	-26.020227	5.1926	36.1712	65	0.0411837	0.0303986	0.0200591	0.00436383	0.000480845	0.005318937	0.001006003	0.003073709	0.068210766	0.006386718	0.004079712	0.009398649	0.074597485	0.033014912	0.03047829	32.81024	0.13712135	0.090589345	0.00048564	0.000176208	0.000298484	0.010744209	0.003165826	0.000394673	0.000583423	0.015428578	0.026537154	0.007516	0.000597794	0.000551864	0.60504234	59.00789	46.03029	49.436474	106.31207	-0.7102521	-4.9231997	1020.30475	0.005457695	89.29537	17.750587	0.037466206	0.042401657	0.03673706	0.022614343	0.010761261	0.004569352	0.000828064	0.000459545	0.000445862	0.000419835	0.000203698	5.59E-05	-5.784687842	1.498635747	0.014174346	1.181866792	-0.361788837	3.076955566	2.647492003	-0.484788138	0.151373744	-0.386792422	-3.69843079	-1.908203572	0.973132891	-0.108197276	-0.254626499	0.005947328	3.700716126	0.972533735	-0.620569882	-0.74661899	3901496	140	0.00041	0.00041	0.00039	0.00041	0.00039	0.00041	0.00041	0.00039	0.00037	0.00041	0.00041	0.000426364	0.00044	0.00044	0.00044	0.00040875	0.00046	0.00046	0.000416667	0.00041	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00044	0.00042	0.00041	0.00044	0.00048	0.00048	0.00046	0.00056	0.00056	0.00056	0.00054	0.00052	0.00048	0.00048	0.00048	0.000488889	0.0005	0.000486667	0.00048	0.00048	0.000475	0.0004425	0.00044	0.00044	0.00044	0.00044	0.00046	0.00046	0.00046	0.00046	0.00046	0.00046	0.00044	0.00041	0.00041	0.00041	0.00039	0.00035	0.000358889	0.000378889	0.00039	0.00039	0.00037	0.00037	0.00035	0.00035	0.00035	0.00035	0.00037	0.00037	0.00037	0.00037	0.00037	0.000356	0.00035	0.00035	0.00033	0.00033	0.000298889	0.00029	0.00029	0.00031	0.00031	0.00031	0.00027	0.00025	0.00025	0.00025	0.00025	0.00025	0.000222	0.00021	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.00023	0.000212	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00021	0.00019	0.00019	0.000202727	0.00021	0.00021	0.00021	0.00018	0.00016	0.00016	0.00021	0.00021	0.00021	0.00021
